,lf,beta,Mean_t(min)_50,Std_t(min)_50,Mean_t(min)_100,Std_t(min)_100,Mean_t(min)_150,Std_t(min)_150
0,1.5,0.1,7.482194359417333,1.180573055704623,7.198835725812834,1.6092447035761042,6.1603595001737785,1.0239067407178228
1,1.5,1.0,7.543315443518368,1.1114887886244784,7.22769335513064,1.5913989150560621,6.170182045788478,1.0202689813798722
2,1.5,3.0,7.5989629609875,1.0532850117918258,7.250479833847959,1.5833476312329804,6.179512899267455,1.017354202328481
3,3.0,0.1,23.02242189521817,16.090371054600666,21.474101371173166,15.299099988339252,18.98904481284211,13.199418161092098
4,3.0,1.0,23.20964574023586,16.06268706619218,21.560192682468763,15.289091240021174,19.036844962036955,13.195524794999034
5,3.0,3.0,23.396762180391324,16.036721185256887,21.643857198840657,15.28214474038451,19.084655798383054,13.191766343539504
6,5.0,0.1,37.76640914216156,25.236085898958844,37.75998320294906,27.34708239787491,33.21839648091837,23.111210983777845
7,5.0,1.0,37.98975912809239,25.17243487362039,37.87174926575708,27.324286515886943,33.281918967059426,23.097659408344317
8,5.0,3.0,38.21352618568086,25.109205954296,37.98207520812259,27.303528824918622,33.34551875106872,23.084118952829982
9,7.5,0.1,29.862785333792917,25.794690506040702,29.93412216468404,27.2977948514732,26.311928684192697,23.3191337155605
10,7.5,1.0,29.990300530251844,25.796464511023707,29.998262996115955,27.301860343981474,26.348014040587703,23.321846449895386
11,7.5,3.0,30.117159449066246,25.799533605713293,30.061086223641794,27.30731889063612,26.384065542777815,23.32465521889533
